%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
2.55999842	-0.83925900	-1.15970300
2.56799842	-1.12918500	-1.46488800
2.57599842	-1.37333300	-1.77007300
2.58399842	-1.60222200	-2.09051800
2.59199842	-1.77007300	-2.41096200
2.59999842	-1.90740700	-2.65511000
2.60799842	-1.96844400	-2.82296200
2.61599842	-1.96844400	-2.83822100
2.62399841	-1.89214700	-2.73140600
2.63199841	-1.75481400	-2.50251800
2.63999841	-1.55644400	-2.18207300
2.64799841	-1.29703700	-1.77007300
2.65599841	-1.02237000	-1.31229600
2.66399841	-0.74770340	-0.85451820
2.67199841	-0.47303690	-0.44251840
2.67999841	-0.24414810	-0.12207400
2.68799841	-0.07629627	0.10681480
2.69599841	0.04577776	0.19837030
2.70399841	0.10681480	0.15259250
2.71199841	0.10681480	-0.01525925
2.71999841	0.07629627	-0.24414810
2.72799841	-0.03051851	-0.51881460
2.73599841	-0.19837030	-0.82399970
2.74399841	-0.39674060	-1.15970300
2.75199841	-0.62562940	-1.46488800
2.75999841	-0.85451820	-1.72429600
2.76799841	-1.05288900	-1.92266600
2.77599841	-1.20548100	-2.07525800
2.78399841	-1.32755500	-2.18207300
2.79199841	-1.40385100	-2.28888800
2.79999841	-1.41911100	-2.31940700
2.80799841	-1.37333300	-2.30414700
2.81599841	-1.29703700	-2.25836900
2.82399841	-1.15970300	-2.16681400
2.83199841	-0.99185150	-2.05999900
2.83999841	-0.79348120	-1.87688800
2.84799841	-0.57985160	-1.64799900
2.85599841	-0.36622210	-1.38859200
2.86399841	-0.18311100	-1.14444400
2.87199841	0.00000000	-0.90029600
2.87999841	0.10681480	-0.67140720
2.88799841	0.15259250	-0.50355540
2.89599841	0.16785180	-0.41199990
2.90399841	0.12207400	-0.44251840
2.91199841	0.04577776	-0.56459240
2.91999841	-0.07629627	-0.74770340
2.92799841	-0.22888880	-1.00711100
2.93599841	-0.42725910	-1.31229600
2.94399841	-0.62562940	-1.63274000
2.95199841	-0.83925900	-1.95318400
2.95999841	-1.03762900	-2.21259200
2.96799841	-1.20548100	-2.38044400
2.97599841	-1.34281400	-2.48725800
2.98399840	-1.41911100	-2.48725800
2.99199840	-1.46488800	-2.42622100
2.99999840	-1.46488800	-2.27362900
3.00799840	-1.43437000	-2.07525800
3.01599840	-1.35807400	-1.84637000
3.02399840	-1.26651800	-1.61748100
3.03199840	-1.12918500	-1.38859200
3.03999840	-0.97659220	-1.17496300
3.04799840	-0.82399970	-0.97659220
3.05599840	-0.68666640	-0.82399970
3.06399840	-0.56459240	-0.70192570
3.07199840	-0.45777760	-0.61037020
3.07999840	-0.41199990	-0.56459240
3.08799840	-0.41199990	-0.54933320
3.09599840	-0.42725910	-0.57985160
3.10399840	-0.48829610	-0.65614790
3.11199840	-0.57985160	-0.76296270
3.11999840	-0.68666640	-0.91555520
3.12799840	-0.82399970	-1.09866600
3.13599840	-0.94607370	-1.29703700
3.14399840	-1.08340700	-1.51066600
3.15199840	-1.22074000	-1.70903600
3.15999840	-1.32755500	-1.87688800
3.16799840	-1.40385100	-1.98370300
3.17599840	-1.43437000	-2.04474000
3.18399840	-1.41911100	-2.04474000
3.19199840	-1.37333300	-1.96844400
3.19999840	-1.28177700	-1.84637000
3.20799840	-1.15970300	-1.67851800
3.21599840	-1.00711100	-1.46488800
3.22399840	-0.83925900	-1.26651800
3.23199840	-0.67140720	-1.06814800
3.23999840	-0.47303690	-0.88503670
3.24799840	-0.30518510	-0.76296270
3.25599840	-0.15259250	-0.67140720
3.26399840	-0.03051851	-0.64088860
3.27199840	0.06103702	-0.64088860
3.27999840	0.10681480	-0.70192570
3.28799840	0.12207400	-0.82399970
3.29599840	0.09155552	-0.94607370
3.30399840	0.03051851	-1.06814800
3.31199840	-0.06103702	-1.23600000
3.31999840	-0.16785180	-1.38859200
3.32799840	-0.28992580	-1.51066600
3.33599839	-0.39674060	-1.63274000
3.34399839	-0.51881460	-1.73955500
3.35199839	-0.62562940	-1.80059200
3.35999839	-0.70192570	-1.86162900
3.36799839	-0.74770340	-1.86162900
3.37599839	-0.74770340	-1.81585100
3.38399839	-0.71718490	-1.75481400
3.39199839	-0.65614790	-1.66325900
3.39999839	-0.56459240	-1.55644400
3.40799839	-0.45777760	-1.41911100
3.41599839	-0.33570360	-1.26651800
3.42399839	-0.19837030	-1.12918500
3.43199839	-0.07629627	-1.02237000
3.43999839	0.04577776	-0.94607370
3.44799839	0.12207400	-0.90029600
3.45599839	0.18311100	-0.86977740
3.46399839	0.24414810	-0.90029600
3.47199839	0.22888880	-0.96133300
3.47999839	0.18311100	-1.05288900
3.48799839	0.12207400	-1.17496300
3.49599839	0.00000000	-1.29703700
3.50399839	-0.10681480	-1.41911100
3.51199839	-0.25940730	-1.55644400
3.51999839	-0.41199990	-1.67851800
3.52799839	-0.54933320	-1.80059200
3.53599839	-0.68666640	-1.87688800
3.54399839	-0.80874040	-1.92266600
3.55199839	-0.88503670	-1.95318400
