%Time	Channel A
%(us)	(mV)
%
2.68000079	30.85421000
2.68800079	6.71407200
2.69600079	-17.37724000
2.70400079	-39.79003000
2.71200078	-59.02890000
2.72000078	-73.84258000
2.72800078	-83.39488000
2.73600078	-87.24632000
2.74400078	-85.26871000
2.75200078	-77.81609000
2.76000078	-65.51103000
2.76800078	-49.21415000
2.77600078	-30.09735000
2.78400078	-9.22269300
2.79200078	12.01208000
2.80000078	32.30689000
2.80800078	50.53255000
2.81600078	65.45609000
2.82400078	76.19861000
2.83200078	82.10699000
2.84000078	82.78451000
2.84800078	78.16401000
2.85600078	68.64833000
2.86400078	54.83566000
2.87200078	37.67815000
2.88000078	18.40877000
2.88800078	-1.76397000
2.89600078	-21.39958000
2.90400078	-39.28342000
2.91200078	-54.29853000
2.92000078	-65.47441000
2.92800078	-72.20679000
2.93600078	-74.14167000
2.94400078	-71.11423000
2.95200078	-63.49071000
2.96000078	-51.76550000
2.96800078	-36.65273000
2.97600078	-19.27549000
2.98400078	-0.70802940
2.99200078	17.82891000
3.00000078	35.05356000
3.00800078	49.84283000
3.01600078	61.23233000
3.02400078	68.48354000
3.03200078	71.19968000
3.04000078	69.24650000
3.04800078	62.86203000
3.05600078	52.62612000
3.06400077	39.20408000
3.07200077	23.66405000
3.08000077	7.03756800
3.08800077	-9.68047000
3.09600077	-25.37309000
3.10400077	-39.12473000
3.11200077	-50.17853000
3.12000077	-57.86309000
3.12800077	-61.76946000
3.13600077	-61.72674000
3.14400077	-57.67998000
3.15200077	-49.92218000
3.16000077	-38.89279000
3.16800077	-25.29374000
3.17600077	-10.03449000
3.18400077	5.95721300
3.19200077	21.51555000
3.20000077	35.60900000
3.20800077	47.28538000
3.21600077	55.72680000
3.22400077	60.39613000
3.23200077	61.02481000
3.24000077	57.66777000
3.24800077	50.59969000
3.25600077	40.46144000
3.26400077	28.04041000
3.27200077	14.16059000
3.28000077	-0.14648880
3.28800077	-14.02020000
3.29600077	-26.61824000
3.30400077	-37.18985000
3.31200077	-45.13688000
3.32000077	-50.07477000
3.32800077	-51.80212000
3.33600077	-50.17853000
3.34400077	-45.38102000
3.35200077	-37.66594000
3.36000077	-27.50938000
3.36800077	-15.58275000
3.37600077	-2.56355500
3.38400077	10.64486000
3.39200077	23.20017000
3.40000077	34.29060000
3.40800077	43.11045000
3.41600076	49.11649000
3.42400076	51.93640000
3.43200076	51.36265000
3.44000076	47.51122000
3.44800076	40.65676000
3.45600076	31.29978000
3.46400076	20.14832000
3.47200076	7.95922800
3.48000076	-4.49232400
3.48800076	-16.35792000
3.49600076	-26.85629000
3.50400076	-35.37095000
3.51200076	-41.34037000
3.52000076	-44.48988000
3.52800076	-44.63027000
3.53600076	-41.71880000
3.54400076	-36.09119000
3.55200076	-28.08924000
3.56000076	-18.26838000
3.56800076	-7.39158200
3.57600076	3.88805800
3.58400076	14.83200000
3.59200076	24.72610000
3.60000076	32.94778000
3.60800076	38.99045000
3.61600076	42.54280000
3.62400076	43.42173000
3.63200076	41.65776000
3.64000076	37.37907000
3.64800076	30.86642000
3.65600076	22.57759000
3.66400076	13.01309000
3.67200076	2.80770300
3.68000076	-7.41599800
3.68800076	-17.01712000
3.69600076	-25.37309000
3.70400076	-31.96509000
3.71200076	-36.28651000
3.72000076	-38.08710000
3.72800076	-37.27531000
3.73600076	-33.86944000
3.74400076	-28.13196000
3.75200076	-20.49623000
3.76000076	-11.54820000
3.76800075	-1.89825100
3.77600075	7.78222000
3.78400075	16.82180000
3.79200075	24.67727000
3.80000075	30.84200000
3.80800075	34.96201000
3.81600075	36.85415000
3.82400075	36.51234000
3.83200075	34.00372000
3.84000075	29.48698000
3.84800075	23.31004000
3.85600075	15.84521000
3.86400075	7.53807200
3.87200075	-1.05594100
3.88000075	-9.46073700
3.88800075	-17.15751000
3.89600075	-23.65184000
3.90400075	-28.50429000
3.91200075	-31.36692000
3.92000075	-32.06274000
3.92800075	-30.51241000
3.93600075	-26.80136000
3.94400075	-21.22257000
3.95200075	-14.14228000
3.96000075	-6.06097600
3.96800075	2.40485800
3.97600075	10.68148000
3.98400075	18.21955000
3.99200075	24.47585000
4.00000075	29.11466000
4.00800075	31.80639000
4.01600075	32.49001000
4.02400075	31.13498000
4.03200075	27.88171000
4.04000075	23.05979000
4.04800075	16.91336000
4.05600075	9.91241200
4.06400075	2.52082900
4.07200075	-4.83413200
4.08000075	-11.68249000
4.08800075	-17.60308000
4.09600075	-22.23578000
4.10400075	-25.32426000
4.11200075	-26.64876000
4.12000075	-26.17267000
4.12800074	-23.92041000
4.13600074	-20.05676000
4.14400074	-14.86251000
4.15200074	-8.62453100
4.16000074	-1.80059200
4.16800074	5.14542100
4.17600074	11.82287000
4.18400074	17.71905000
4.19200074	22.51045000
4.20000074	25.91021000
4.20800074	27.59484000
4.21600074	27.55821000
4.22400074	25.81866000
4.23200074	22.44942000
4.24000074	17.74346000
4.24800074	12.01208000
4.25600074	5.67033900
4.26400074	-0.84841450
4.27200074	-7.08029400
4.28000074	-12.63466000
4.28800074	-17.14530000
4.29600074	-20.38636000
4.30400074	-22.11982000
4.31200074	-22.28461000
4.32000074	-20.97842000
4.32800074	-18.28669000
4.33600074	-14.41694000
4.34400074	-9.63164100
4.35200074	-4.22376200
4.36000074	1.45268100
4.36800074	7.05587900
4.37600074	12.28675000
4.38400074	16.84011000
4.39200074	20.44130000
4.40000074	22.84005000
4.40800074	23.88379000
4.41600074	23.51146000
4.42400074	21.67424000
4.43200074	18.53084000
4.44000074	14.25214000
4.44800074	9.06399600
4.45600074	3.38755500
4.46400074	-2.36213300
4.47200074	-7.81273800
4.48000073	-12.56142000
4.48800073	-16.26637000
4.49600073	-18.67733000
4.50400073	-19.64782000
4.51200073	-19.16562000
4.52000073	-17.28568000
4.52800073	-14.23383000
4.53600073	-10.24201000
4.54400073	-5.61540600
4.55200073	-0.65919980
4.56000073	4.24207300
4.56800073	8.81374500
4.57600073	12.84829000
4.58400073	16.02222000
4.59200073	18.29280000
4.60000073	19.50743000
4.60800073	19.56847000
4.61600073	18.55525000
4.62400073	16.50441000
4.63200073	13.52580000
4.64000073	9.81475300
4.64800073	5.56047200
4.65600073	1.04983700
4.66400073	-3.45469500
4.67200073	-7.66014600
4.68000073	-11.24912000
4.68800073	-14.02631000
4.69600073	-15.78417000
4.70400073	-16.34571000
4.71200073	-15.70482000
4.72000073	-13.93475000
4.72800073	-11.10263000
4.73600073	-7.42210100
4.74400073	-3.20444300
4.75200073	1.31229600
4.76000073	5.77410200
4.76800073	9.85137500
4.77600073	13.32438000
4.78400073	15.92456000
