%Time	Channel A
%(us)	(mV)
%
4.97600072	-3.13119900
4.98400072	-3.93383600
4.99200072	-4.41297600
5.00000072	-4.61134700
5.00800072	-4.39161300
5.01600072	-3.87890200
5.02400072	-3.09152500
5.03200072	-1.99591100
5.04000072	-0.78432570
5.04800072	0.52797030
5.05600072	1.85247300
5.06400072	3.08847300
5.07200072	4.19629500
5.08000072	5.07217600
5.08800072	5.63982100
5.09600072	5.91448700
5.10400072	5.85345000
5.11200072	5.42619100
5.12000072	4.77919800
5.12800072	3.83617700
5.13600072	2.69173300
5.14400072	1.51677000
5.15200072	0.26856290
5.16000072	-0.89419230
5.16800072	-1.87994000
5.17600072	-2.72835500
5.18400071	-3.28989500
5.19200071	-3.56151000
5.20000071	-3.59508000
5.20800071	-3.28989500
5.21600071	-2.78634000
5.22400071	-2.05999900
5.23200071	-1.11392600
5.24000071	-0.11902220
5.24800071	0.95217750
5.25600071	2.02948100
5.26400071	2.98776200
5.27200071	3.80871000
5.28000071	4.44959900
5.28800071	4.81582100
5.29600071	4.94094700
5.30400071	4.81276900
5.31200071	4.38856200
5.32000071	3.76903600
5.32800071	2.92367300
5.33600071	1.91656200
5.34400071	0.90639970
5.35200071	-0.14648880
5.36000071	-1.11392600
5.36800071	-1.90130300
5.37600071	-2.56965900
5.38400071	-2.94503600
5.39200071	-3.06405800
5.40000071	-2.98776200
5.40800071	-2.60322900
5.41600071	-2.01117000
5.42400071	-1.29398500
5.43200071	-0.39674060
5.44000071	0.54322950
5.44800071	1.46488800
5.45600071	2.38654800
5.46400071	3.15866600
5.47200071	3.79650300
5.48000071	4.23902100
5.48800071	4.42518400
5.49600071	4.43434000
5.50400071	4.19629500
5.51200071	3.72020600
5.52000071	3.09762900
5.52800071	2.30109600
5.53600070	1.40995500
5.54400070	0.54322950
5.55200070	-0.33570360
5.56000070	-1.16885900
5.56800070	-1.80974800
5.57600070	-2.32551100
5.58400070	-2.62154000
5.59200070	-2.64900700
5.60000070	-2.49336200
5.60800070	-2.08441400
5.61600070	-1.50151100
5.62400070	-0.79348120
5.63200070	0.06714072
5.64000070	0.91860710
5.64800070	1.75786600
5.65600070	2.54524400
5.66400070	3.15866600
5.67200070	3.59202900
5.68000070	3.87585100
5.68800070	3.91857700
5.69600070	3.77208800
5.70400070	3.46995400
5.71200070	2.94503600
5.72000070	2.33466600
5.72800070	1.64494800
5.73600070	0.88503680
5.74400070	0.19531850
5.75200070	-0.48829610
5.76000070	-1.08035500
5.76800070	-1.52287400
5.77600070	-1.86162900
5.78400070	-2.00201400
5.79200070	-1.94708100
5.80000070	-1.75786600
5.80800070	-1.38859200
5.81600070	-0.86062190
5.82400070	-0.27466660
5.83200070	0.42115540
5.84000070	1.17191100
5.84800070	1.84637000
5.85600070	2.47810300
5.86400070	2.97555500
5.87200070	3.31431000
5.88000070	3.52794000
5.88800070	3.51573200
5.89600069	3.34482900
5.90400069	3.01522900
5.91200069	2.49336200
5.92000069	1.94097700
5.92800069	1.32145100
5.93600069	0.64088860
5.94400069	0.02136296
5.95200069	-0.50660720
5.96000069	-1.01931800
5.96800069	-1.32145100
5.97600069	-1.51677000
5.98400069	-1.60527400
5.99200069	-1.47099200
6.00000069	-1.25431100
6.00800069	-0.88808860
6.01600069	-0.42115540
6.02400069	0.07934812
6.03200069	0.67751090
6.04000069	1.26041400
6.04800069	1.77312500
6.05600069	2.24921400
6.06400069	2.60933300
6.07200069	2.84127300
6.08000069	2.97860600
6.08800069	2.92062100
6.09600069	2.73140700
6.10400069	2.41096200
6.11200069	1.99285900
6.12000069	1.48930300
6.12800069	0.96743670
6.13600069	0.41199990
6.14400069	-0.12207400
6.15200069	-0.57069610
6.16000069	-0.92776260
6.16800069	-1.17496300
6.17600069	-1.29398500
6.18400069	-1.28177700
6.19200069	-1.13528900
6.20000069	-0.84231080
6.20800069	-0.47914060
6.21600069	-0.04272591
6.22400069	0.45777760
6.23200069	0.93691830
6.24000069	1.40995500
6.24800068	1.85552500
6.25600068	2.19428100
6.26400068	2.43537700
6.27200068	2.62154000
6.28000068	2.64290300
6.28800068	2.52693200
6.29600068	2.34077000
6.30400068	2.01117000
6.31200068	1.64189600
6.32000068	1.22989600
6.32800068	0.76906640
6.33600068	0.36927400
6.34400068	-0.04577776
6.35200068	-0.37842950
6.36000068	-0.59205910
6.36800068	-0.78127380
6.37600068	-0.82094790
6.38400068	-0.72023680
6.39200068	-0.58900730
6.40000068	-0.32349620
6.40800068	0.01831111
6.41600068	0.35096290
6.42400068	0.76296280
6.43200068	1.18106600
6.44000068	1.51066600
6.44800068	1.82195500
6.45600068	2.06610300
6.46400068	2.21259200
6.47200068	2.30719900
6.48000068	2.27973300
6.48800068	2.19122900
6.49600068	2.02032500
6.50400068	1.74260700
6.51200068	1.44962900
6.52000068	1.09256300
6.52800068	0.69277010
6.53600068	0.32349620
6.54400068	-0.05493332
6.55200068	-0.38453320
6.56000068	-0.60426650
6.56800068	-0.74159980
6.57600068	-0.76296280
6.58400068	-0.66225170
6.59200068	-0.46082950
6.60000067	-0.18616290
6.60800067	0.15259250
6.61600067	0.56459240
6.62400067	0.95522930
6.63200067	1.30924400
6.64000067	1.63579200
6.64800067	1.87688800
6.65600067	2.03558500
6.66400067	2.11798500
6.67200067	2.11188100
6.68000067	2.02642900
6.68800067	1.85552500
6.69600067	1.64800000
6.70400067	1.40690300
6.71200067	1.10782200
6.72000067	0.83315530
6.72800067	0.55848870
6.73600067	0.26856290
6.74400067	0.02136296
6.75200067	-0.16785180
6.76000067	-0.31739250
6.76800067	-0.37842950
6.77600067	-0.34791100
6.78400067	-0.28992580
6.79200067	-0.12512590
6.80000067	0.10986660
6.80800067	0.36927400
6.81600067	0.70802940
6.82400067	1.01016300
6.83200067	1.31840000
6.84000067	1.61748100
6.84800067	1.82500700
6.85600067	2.00811800
6.86400067	2.09662200
6.87200067	2.06610300
6.88000067	1.98980700
6.88800067	1.80364400
6.89600067	1.55949600
6.90400067	1.30008900
6.91200067	0.98269600
6.92000067	0.65919980
6.92800067	0.38148140
6.93600067	0.11902220
6.94400067	-0.06714072
6.95200066	-0.19226660
6.96000066	-0.27771840
6.96800066	-0.24109620
6.97600066	-0.17395550
6.98400066	-0.08545183
6.99200066	0.13733330
7.00000066	0.34791100
7.00800066	0.57679980
7.01600066	0.85757010
7.02400066	1.07730300
7.03200066	1.28177700
7.04000066	1.46183700
7.04800066	1.60222200
7.05600066	1.70903700
7.06400066	1.70903700
7.07200066	1.66631100
7.08000066	1.58391100
7.08800066	1.43131800
7.09600066	1.23905100
7.10400066	1.03457700
7.11200066	0.76601460
7.12000066	0.53712580
7.12800066	0.36317030
7.13600066	0.16174810
7.14400066	0.03967406
7.15200066	-0.00305185
7.16000066	-0.03051851
7.16800066	0.04577776
7.17600066	0.16785180
7.18400066	0.31739250
7.19200066	0.52491830
7.20000066	0.71718500
7.20800066	0.93081460
7.21600066	1.13528900
7.22400066	1.27872600
7.23200066	1.46488800
7.24000066	1.60222200
7.24800066	1.65715500
7.25600066	1.70598500
7.26400066	1.70293300
7.27200066	1.60527400
7.28000066	1.55644400
7.28800066	1.38859200
7.29600066	1.19327400
7.30400065	0.99490340
7.31200065	0.73854790
7.32000065	0.56459240
7.32800065	0.36622210
7.33600065	0.19531850
7.34400065	0.10986660
7.35200065	0.05188146
7.36000065	0.07019257
7.36800065	0.18311110
7.37600065	0.32044430
7.38400065	0.46998500
7.39200065	0.71718500
7.40000065	0.92776260
7.40800065	1.12002900
7.41600065	1.33976200
7.42400065	1.47099200
7.43200065	1.55949600
7.44000065	1.63274000
7.44800065	1.58391100
7.45600065	1.55339200
7.46400065	1.44352500
7.47200065	1.30314000
7.48000065	1.21158500
7.48800065	1.01931800
7.49600065	0.87588120
7.50400065	0.76296280
7.51200065	0.62562940
7.52000065	0.53102210
7.52800065	0.46693320
7.53600065	0.39368880
7.54400065	0.33875540
7.55200065	0.36011840
7.56000065	0.36011840
7.56800065	0.41505170
7.57600065	0.52491830
7.58400065	0.59511090
7.59200065	0.71413310
7.60000065	0.82399980
